Unnamed: 0,csa_code_origin,csa_code_dest,CarrID,yearq,Segid,seg_entry_tplus1,Dist,Dist_sq,pop_origin,pop_dest,ln2002pssgrdens,seg_entry_t,nonstop_comps,orig_share,dest_share,any_origin,any_dest,scheduled_flights,fstseats,busseats,ecoseats,scheduled_aircraft_max_take_off_weight,scheduled_aircraft_hold_volume,scheduled_aircraft_range_stat_miles,capacity_t,capacity_tplus1
596,1,51,8,15,50,0,0.609001534,0.370882868,817973,1932720,10.30658319,1,3,0.131846438,0.146456828,1,1,0,0,0,0,0,0,0,0,0
598,1,51,10,15,50,0,0.609001534,0.370882868,817973,1932720,10.30658319,1,3,0.029148861,0.033203236,1,1,4,0,0,50,21,9,1529,4,0
640,1,55,4,15,54,0,0.492414619,0.242472157,817973,1072748,10.68058518,1,2,0.026824261,0.01184939,1,1,2,0,0,50,23,14,2307,2,0
678,1,58,6,15,57,1,1.49616683,2.238515183,817973,2684639,10.15591802,0,1,0.061213302,0.019979667,1,1,0,0,0,0,0,0,0,0,0
696,1,59,12,15,58,0,0.606190314,0.367466696,817973,892635,3.80666249,1,1,0.527414663,0.32802138,1,1,0,0,0,0,0,0,0,0,0
701,1,60,5,15,59,1,0.32121054,0.103176211,817973,975476,10.63171226,0,1,0.073020187,0.057943021,1,1,0,0,0,0,0,0,0,0,0
752,2,6,8,15,63,1,0.091849488,0.008436329,850541,1182625,6.34738921,0,0,0.442700472,0.174811376,1,1,0,0,0,0,0,0,0,0,0
797,2,10,5,15,67,0,0.143469303,0.020583441,850541,4473477,8.593598523,1,1,0.008848544,0.106076539,1,1,0,0,0,0,0,0,0,0,0
799,2,10,7,15,67,0,0.143469303,0.020583441,850541,4473477,8.593598523,1,1,0.068422669,0.061319427,1,1,0,0,0,0,0,0,0,0,0
804,2,10,12,15,67,0,0.143469303,0.020583441,850541,4473477,8.593598523,1,1,0.349348331,0.147678127,1,1,0,0,0,0,0,0,0,0,0
811,2,11,7,15,68,1,0.25018406,0.062592064,850541,1130913,8.853093836,0,2,0.068422669,0.081437295,1,1,0,0,0,0,0,0,0,0,0
838,2,13,10,15,70,0,0.318440194,0.101404157,850541,7927060,12.2560716,1,5,0.051587012,0.176650982,1,1,0,0,0,0,0,0,0,0,0
876,2,16,12,15,73,1,0.507622092,0.257680188,850541,1737170,5.214935758,0,1,0.349348331,0.247646663,1,1,0,0,0,0,0,0,0,0,0
937,2,22,1,15,79,0,0.137196599,0.018822907,850541,18825633,11.2067535,1,2,0.00158493,0.157780482,1,1,0,0,0,0,0,0,0,0,0
946,2,22,10,15,79,0,0.137196599,0.018822907,850541,18825633,11.2067535,1,2,0.051587012,0.057405747,1,1,0,0,0,0,0,0,0,0,0
1008,2,27,12,15,84,0,0.680271444,0.462769238,850541,1671898,6.612041035,1,0,0.349348331,0.137295662,1,1,0,0,0,0,0,0,0,0,0
1090,2,34,10,15,91,0,0.71393438,0.509702298,850541,1540301,6.253828812,1,2,0.051587012,0.001517327,1,1,0,0,0,0,0,0,0,0,0
1164,2,40,12,15,97,1,1.136101457,1.290726522,850541,820051,0,0,1,0.349348331,0.250392465,1,1,0,0,0,0,0,0,0,0,0
1172,2,41,8,15,98,1,0.423972187,0.179752415,850541,1672386,8.011686729,0,2,0.442700472,0.471208422,1,1,0,0,0,0,0,0,0,0,0
1236,2,46,12,15,103,0,0.366286913,0.134166103,850541,2361482,11.64992708,1,3,0.349348331,0.137689278,1,1,0,0,0,0,0,0,0,0,0
1379,2,58,11,15,115,1,1.132582661,1.282743483,850541,2684639,7.994294986,0,2,0.077211355,0.098748419,1,1,0,0,0,0,0,0,0,0,0
1380,2,58,12,15,115,1,1.132582661,1.282743483,850541,2684639,7.994294986,0,2,0.349348331,0.299438066,1,1,0,0,0,0,0,0,0,0,2
1406,3,4,2,15,118,0,3.412596059,11.64581186,359341,5119641,9.903637541,1,2,0.47304716,0,1,0,6,0,38,166,187,114,7077,6,0
1409,3,4,5,15,118,0,3.412596059,11.64581186,359341,5119641,9.903637541,1,2,0.089353838,0.626557693,1,1,6,0,38,166,187,114,7077,6,0
1412,3,4,8,15,118,0,3.412596059,11.64581186,359341,5119641,9.903637541,1,2,0.06768107,0.296538067,1,1,6,0,38,166,187,114,7077,6,0
1501,3,12,1,15,126,0,2.345811291,5.502830612,359341,12713660,10.28301928,1,2,0.048734007,0.160534343,1,1,6,12,0,112,63,30,2597,6,0
1505,3,12,5,15,126,0,2.345811291,5.502830612,359341,12713660,10.28301928,1,2,0.089353838,0.090538115,1,1,6,12,0,112,69,27,3797,6,0
1507,3,12,7,15,126,0,2.345811291,5.502830612,359341,12713660,10.28301928,1,2,0.114817068,0.035927303,1,1,3,12,0,112,69,27,3797,3,0
1565,3,17,5,15,131,0,3.105391472,9.643456193,359341,2122711,8.929700114,1,1,0.089353838,0.482802881,1,1,3,0,0,185,116,48,4545,3,0
1573,3,18,1,15,132,0,3.040535637,9.244856962,359341,5999411,9.777357275,1,3,0.048734007,0.699374464,1,1,6,22,0,166,116,48,4545,6,0
1574,3,18,2,15,132,0,3.040535637,9.244856962,359341,5999411,9.777357275,1,3,0.47304716,0.004764505,1,1,6,22,0,166,116,48,4545,6,0
1585,3,19,1,15,133,0,2.402315802,5.771121213,359341,2399620,10.07259722,1,6,0.048734007,0.043952796,1,1,3,12,0,112,63,30,2597,3,0
1586,3,19,2,15,133,0,2.402315802,5.771121213,359341,2399620,10.07259722,1,6,0.47304716,0.014075645,1,1,3,12,0,112,69,27,3797,3,0
1598,3,20,2,15,134,0,2.980299989,8.882188024,359341,4484542,10.37745208,1,1,0.47304716,0,1,0,4,0,0,185,116,48,4545,4,0
1600,3,20,4,15,134,0,2.980299989,8.882188024,359341,4484542,10.37745208,1,1,0.074987499,0.015859273,1,1,4,0,0,185,116,48,4545,4,0
1654,3,24,10,15,138,0,1.581518729,2.50120149,359341,447211,3.688879454,1,0,0.098487312,0.069965312,1,1,0,0,0,0,0,0,0,0,0
1675,3,26,7,15,140,0,3.264359634,10.65604382,359341,5484883,10.61932534,1,1,0.114817068,0.014815712,1,1,10,18,0,132,71,45,3368,10,0
1676,3,26,8,15,140,0,3.264359634,10.65604382,359341,5484883,10.61932534,1,1,0.06768107,0.175701878,1,1,10,18,0,132,71,45,3368,10,0
1715,3,29,11,15,143,0,2.302550829,5.301740318,359341,1778129,8.085486772,1,3,0,0.037450208,0,1,2,12,0,112,76,27,4221,2,0
1748,3,32,8,15,146,0,2.853704405,8.143628833,359341,9398855,11.09722819,1,5,0.06768107,0.174681124,1,1,2,24,0,158,116,48,4545,2,0
1751,3,32,11,15,146,0,2.853704405,8.143628833,359341,9398855,11.09722819,1,5,0,0.012891072,0,1,6,24,0,158,116,48,4545,6,0
1819,3,38,7,15,152,1,2.801178852,7.846602963,359341,140407,0,0,0,0.114817068,0.021728181,1,1,0,0,0,0,0,0,0,0,0
1904,3,45,8,15,159,0,2.550511661,6.505109735,359341,4046571,8.835792367,1,3,0.06768107,0.07951904,1,1,1,12,0,112,76,27,4221,1,0
1998,3,53,6,15,167,0,1.446675551,2.092870149,359341,3259945,13.24104734,1,6,0.032892045,0.026290041,1,1,0,0,0,0,0,0,0,0,0
2002,3,53,10,15,167,0,1.446675551,2.092870149,359341,3259945,13.24104734,1,6,0.098487312,0.10595231,1,1,2,8,0,112,76,27,4221,2,0
2003,3,53,11,15,167,0,1.446675551,2.092870149,359341,3259945,13.24104734,1,6,0,0.019499871,0,1,2,8,0,112,76,27,4221,2,0
2227,4,16,7,15,186,0,0.447164326,0.199955935,5119641,1737170,12.48852607,1,4,0.015537501,0.067962936,1,1,4,15,0,132,67.5,40,3214,4,0
2242,4,17,10,15,187,1,0.373574382,0.139557819,5119641,2122711,12.65264771,0,3,0.008894132,0.006708787,1,1,0,0,0,0,0,0,0,0,0
2254,4,18,10,15,188,0,0.730219745,0.533220876,5119641,5999411,13.93121588,1,4,0.008894132,0.024599036,1,1,0,0,0,0,0,0,0,0,0
2302,4,22,10,15,192,1,0.755776404,0.571197973,5119641,18825633,14.48282595,0,5,0.008894132,0.057405747,1,1,0,0,0,0,0,0,0,0,0
2308,4,23,4,15,193,0,0.595466548,0.35458041,5119641,4201036,14.45600352,1,3,0.01360412,0.062367561,1,1,7,12.57142857,0,138.4285714,89.42857143,43.42857143,3784.428571,7,0
2362,4,27,10,15,197,0,0.432625422,0.187164756,5119641,1671898,12.33443068,1,3,0.008894132,0.012885999,1,1,0,0,0,0,0,0,0,0,0
